family_key,canonical_source_handle,target_handle,target_variants,missing_variant_rows
ceylon_cinnamon,aromatic-true-cinnamon-ceylon-100g,aromatic-true-cinnamon-ceylon,50g|100g|200g,0
spice_combo_3in1,cardamom-50g-black-pepper-100g-clove-100g-3-in-1-spice-combo-pack,kerala-spice-combo-pack,50g+100g+100g|100g+200g+100g,0
black_pepper,kerala-black-pepper-100gm,kerala-black-pepper,50g|100g|200g,0
green_cardamom,kerala-cardamom-50gm,kerala-cardamom,50g|100g|200g,0
clove,kerala-clove-100gm,kerala-adimali-clove,50g|100g|200g,0
white_pepper,kerala-white-pepper-100gm,kerala-white-pepper,50g|100g|200g,0
cassia_cinnamon,premium-cassia-cinnamon-100g,premium-cassia-cinnamon,50g|100g|200g,0
