family_key,canonical_handle,canonical_title,mapped_variants,missing_target_variants,source_handles
ceylon_cinnamon,aromatic-true-cinnamon-ceylon,Aromatic True Cinnamon (Ceylon),100g|200g,50g,aromatic-true-cinnamon-ceylon-100g|aromatic-true-cinnamon-ceylon-200g
spice_combo_3in1,kerala-spice-combo-pack,3-in-1 Kerala Spice Combo Pack,100g+200g+100g|50g+100g+100g,50g|100g|200g,cardamom-100g-black-pepper-200g-clove-100g-3-in-1-spice-combo-pack|cardamom-50g-black-pepper-100g-clove-100g-3-in-1-spice-combo-pack
black_pepper,kerala-black-pepper,Kerala Black Pepper,100g|200g,50g,kerala-black-pepper-100gm|kerala-black-pepper-200gm|kerala-black-pepper-300gm|kerala-black-pepper-500gm
green_cardamom,kerala-cardamom,Kerala Cardamom,100g|200g|50g,,kerala-cardamom-500gm|kerala-cardamom-50gm|kerala-cardamom-8mm-200gm|kerala-cardamom-8mm-fruit-100gm
clove,kerala-adimali-clove,Kerala Adimali Clove,100g|200g,50g,kerala-clove-100gm|kerala-clove-200gm
white_pepper,kerala-white-pepper,Kerala White Pepper,100g,50g|200g,kerala-white-pepper-100gm
cassia_cinnamon,premium-cassia-cinnamon,Premium Cassia Cinnamon,100g|200g,50g,premium-cassia-cinnamon-100g|premium-cassia-cinnamon-200g
